"","magnitude","breakpoint","change_class"
"164",0.0201762804437969,"0","no_change"
"165",0.00976291966204756,"0","no_change"
"166",0.0256061687851203,"0","no_change"
"167",-0.0177493192815857,"0","deg"
"168",0.0484563723366203,"0","deg"
"169",0.0368849935917615,"0","no_change"
"170",-0.0011254107237153,"0","no_change"
"171",0.0208064168658328,"0","no_change"
"172",0.0666396261961648,"0","no_change"
"173",0.00379163401088639,"0","no_change"
"174",0.0218258311300758,"0","no_change"
"175",0.0111715972616746,"0","no_change"
"176",0.0942462939367387,"0","no_change"
"177",-0.0553246520749988,"0","no_change"
"178",-0.0288236536816416,"0","no_change"
"179",0.029939011459418,"0","no_change"
"180",-0.0493224403584335,"0","no_change"
"181",0.0472286166941784,"0","no_change"
"182",-0.0085564421229003,"0","no_change"
"183",-0.121640032082885,"0","deg"
"184",-0.0148377828326961,"0","no_change"
"185",-0.0265414481113487,"0","deg"
"186",0.0145845082974003,"0","no_change"
"187",0.018740181492933,"0","no_change"
"188",-0.000993284045553322,"0","no_change"
"189",0.0599127370912761,"0","no_change"
"190",0.00233185722410523,"0","no_change"
"191",0.0193273369460311,"0","no_change"
"192",-0.0288124647136137,"0","deg"
"193",-0.00986313440249209,"0","no_change"
"194",0.0566258346876963,"0","no_change"
"195",-0.00704690973270611,"0","no_change"
"196",0.0753318893520096,"0","no_change"
"197",-0.0592250521417054,"0","deg"
"198",-0.00283774436178019,"0","deg"
"199",-0.16304101353335,"0","def"
"200",-0.00651582231450865,"0","no_change"
"201",0.0302696651231654,"0","no_change"
"202",-0.0183103669933155,"0","no_change"
"203",0.047563290546909,"0","no_change"
"204",0.0411996291676008,"0","no_change"
